Price,Close,High,Low,Open,Volume,Return_1d,Return_5d,Volatility_5d,Lag1,Lag5,Target
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,
Date,,,,,,,,,,,
2014-01-10,16.53045654296875,16.774253731516367,16.473694494640075,16.74416649974745,304976000,-0.006672825257251103,-0.01486211545616134,0.008436920221084512,-0.01277003471113114,-0.021966069134652266,1
2014-01-13,16.61699676513672,16.826984547888287,16.435544063406557,16.436475023323776,378492800,0.005235198552624221,-0.015075894994542427,0.008382905599023648,-0.006672825257251103,0.005453386650183134,1
2014-01-14,16.947650909423828,16.958196271545198,16.67686734603525,16.69423754195179,332561600,0.019898550198964804,0.01175834809237708,0.0126703196045718,0.005235198552624221,-0.007151590451356604,1
2014-01-15,17.28790855407715,17.375998588156065,17.11110895015743,17.168801975598413,391638800,0.020076979781552984,0.025576956434514964,0.015010400514461328,0.019898550198964804,0.0063324780413440696,0
2014-01-16,17.191444396972656,17.272090060716135,17.111728036847616,17.211605812908527,229278000,-0.005579862757993492,0.0330464163650408,0.01308491210718461,0.020076979781552984,-0.01277003471113114,0
2014-01-17,16.770225524902344,17.12382470605538,16.746341926130373,17.1055252112826,426739600,-0.024501656890708268,0.014504679971200085,0.018789173661641147,-0.005579862757993492,-0.006672825257251103,1
2014-01-21,17.0307674407959,17.061783971959386,16.762465501066792,16.78014545391383,328526800,0.015535981642385899,0.024900448709678447,0.019637548874468783,-0.024501656890708268,0.005235198552624221,0
2014-01-22,17.106454849243164,17.285734225336647,16.99169000816716,17.087843931538615,379985200,0.004444157241320967,0.009370262620351344,0.017858932778635095,0.015535981642385899,0.019898550198964804,0
2014-01-23,17.251296997070312,17.261222815086125,16.89862897238234,17.057748515297035,403239200,0.008467104908855827,-0.002117755128812404,0.015522089195634638,0.004444157241320967,0.020076979781552984,0
2014-01-24,16.937721252441406,17.233937193801214,16.896777228469734,17.183688538092323,429354800,-0.018176937344604238,-0.014758686860304127,0.01748595936208889,0.008467104908855827,-0.005579862757993492,0
2014-01-27,17.07512855529785,17.208504340062664,16.927796650176298,17.06179197072905,554878800,0.008112502314125525,0.018181212288573834,0.012859212049591114,-0.018176937344604238,-0.024501656890708268,0
2014-01-28,15.71035385131836,15.974000999447494,15.5729445185518,15.78045247260903,1065523200,-0.07992763858612628,-0.0775310680547836,0.037708729940291445,0.008112502314125525,0.015535981642385899,1
2014-01-29,15.53200912475586,15.7373454834819,15.465942424246242,15.631265715981087,502810000,-0.011352050262542823,-0.09203810715678251,0.03626283888197412,-0.07992763858612628,0.004444157241320967,1
2014-01-30,15.501917839050293,15.710356791905767,15.406385113546614,15.58752639888158,678501600,-0.001937372394251624,-0.10140566001020712,0.034582691181585495,-0.011352050262542823,0.008467104908855827,1
2014-01-31,15.527350425720215,15.556196929521722,15.308677560564066,15.359235970034938,464797200,0.0016406090481175806,-0.08326803858092191,0.03604271068059509,-0.001937372394251624,-0.018176937344604238,1
2014-02-03,15.556205749511719,15.748515331719204,15.487038042543396,15.589705415133091,401464000,0.0018583546452139998,-0.08895527789832425,0.035061829463693,0.0016406090481175806,0.008112502314125525,1
2014-02-04,15.781384468078613,15.802167072061465,15.594349314794727,15.690193463036696,376681200,0.014475169729222914,0.004521261419856204,0.009272388752251302,0.0018583546452139998,-0.07992763858612628,1
2014-02-05,15.899259567260742,15.982696477961914,15.70260826552795,15.712224324346275,328344800,0.00746924957189643,0.023644748052557896,0.006417012794515675,0.014475169729222914,-0.011352050262542823,1
2014-02-06,15.991935729980469,16.022827990470706,15.84527998088651,15.915488300376971,257765200,0.005828960922844573,0.031610146306916276,0.005240472176172843,0.00746924957189643,-0.001937372394251624,1
2014-02-07,16.215652465820312,16.31706294100885,16.14388607810411,16.26869820152324,370280400,0.013989346856893459,0.044328363901671386,0.005428917170497233,0.005828960922844573,0.0016406090481175806,1
2014-02-10,16.50615692138672,16.599766862648554,16.1632343140829,16.18382803456059,345559200,0.017915064236776024,0.06106573718368424,0.005090692734717475,0.013989346856893459,0.0018583546452139998,1
2014-02-11,16.7236385345459,16.77949052549612,16.522064106531797,16.556700806373673,282256800,0.01317578732560043,0.05970667962454157,0.004960127843129877,0.017915064236776024,0.014475169729222914,1
2014-02-12,16.72239112854004,16.83597152443737,16.638768107815782,16.754531524321486,308100800,-7.4589390537394e-05,0.051771691492744853,0.007200770311650893,0.01317578732560043,0.00746924957189643,0
2014-02-13,16.987930297851562,17.00103508634613,16.668721046770695,16.683073989713687,307398000,0.01587925837103099,0.06228105119281335,0.0070890006008167365,-7.4589390537394e-05,0.005828960922844573,0
2014-02-14,16.974199295043945,17.03629539678647,16.887456725095106,16.926771091418527,272924400,-0.0008082799120828765,0.046778680711276666,0.008979892466960043,0.01587925837103099,0.013989346856893459,0
2014-02-18,17.036605834960938,17.198860906163823,17.02474753505769,17.036917456951088,260251600,0.0036765527982938195,0.03213642740103406,0.007698373664329272,-0.0008082799120828765,0.017915064236776024,0
2014-02-19,16.767641067504883,17.064695264400605,16.673407873336547,16.997919811271945,313768000,-0.01578746201336123,0.0026311578588646967,0.011334742221512697,0.0036765527982938195,0.01317578732560043,0
2014-02-20,16.573549270629883,16.756088086313543,16.506462227277353,16.630962701615644,305858000,-0.011575378796194746,-0.008900752097355746,0.012596724203847163,-0.01578746201336123,-7.4589390537394e-05,0
2014-02-21,16.389453887939453,16.68026722911539,16.36917179333646,16.624725185477416,278784800,-0.011107782629075524,-0.03522950703346117,0.008174366488556474,-0.011575378796194746,0.01587925837103099,1
2014-02-24,16.46122169494629,16.53517444098037,16.301151277779002,16.323929683420083,288909600,0.004378901670399671,-0.030221019040788222,0.009411316401774047,-0.011107782629075524,-0.0008082799120828765,1
2014-02-25,16.289918899536133,16.524253699371606,16.256843632633363,16.518326214266146,231952000,-0.010406444830443395,-0.04382838592723226,0.007714721215846196,0.004378901670399671,0.0036765527982938195,1
2014-02-26,16.142946243286133,16.3816503386907,16.088340742157165,16.338278226328526,276217200,-0.009022307425618048,-0.03725597546511106,0.0067358573184341415,-0.010406444830443395,-0.01578746201336123,1
2014-02-27,16.4649658203125,16.49960085763736,16.10238443938759,16.136396232680525,301882000,0.01994800528808649,-0.006551611157291748,0.013439352283883356,-0.009022307425618048,-0.011575378796194746,1
2014-02-28,16.420351028442383,16.62348365710542,16.291792739306157,16.508966694081526,371968800,-0.0027096801995832864,0.0018851842602067848,0.012381218667381613,0.01994800528808649,-0.011107782629075524,1
2014-03-03,16.467777252197266,16.557954350361356,16.313321017257415,16.332354960695902,238781200,0.0028882588242318263,0.0003982424495860837,0.012280126753015479,-0.0027096801995832864,0.004378901670399671,1
2014-03-04,16.576358795166016,16.620044199572654,16.468084316206763,16.568871535124092,259140000,0.006593576127844614,0.017583874873559946,0.010906899201802923,0.0028882588242318263,-0.010406444830443395,1
2014-03-05,16.611309051513672,16.68588337003639,16.51052182086916,16.566377153895115,200062800,0.0021084399040547375,0.02901346514873837,0.008592299616843426,0.006593576127844614,-0.009022307425618048,1
2014-03-06,16.561071395874023,16.676211571741895,16.478383238775525,16.624725612416718,185488800,-0.003024304435240821,0.005836973888093899,0.004058705492156355,0.0021084399040547375,0.01994800528808649,0
2014-03-07,16.551406860351562,16.59945999952823,16.414424751409232,16.571688964558774,220729600,-0.0005835694618687715,0.007981305130576821,0.003640261997376369,-0.003024304435240821,-0.0027096801995832864,0
2014-03-10,16.566375732421875,16.641574954984556,16.485870603626875,16.486495514065666,178584000,0.0009043866903042375,0.005987358142790944,0.0035717356176317777,-0.0005835694618687715,0.0028882588242318263,0
2014-03-11,16.727697372436523,16.810385536988353,16.618486337529863,16.70772856397573,279224400,0.009737895760683957,0.009129784118490525,0.004818160515421107,0.0009043866903042375,0.006593576127844614,0
2014-03-12,16.743921279907227,16.767011305382912,16.600075220506156,16.67839566705146,199326400,0.0009698828900046585,0.007983249723565233,0.0048285203810791676,0.009737895760683957,0.0021084399040547375,0
2014-03-13,16.557952880859375,16.839092632621874,16.511459536891255,16.76982254939367,257742800,-0.011106621677146489,-0.00018830394121871485,0.007420943045579243,0.0009698828900046585,-0.003024304435240821,0
2014-03-14,16.371980667114258,16.565439612358077,16.319246556906485,16.499912335328844,237199200,-0.011231594574719228,-0.01084054030881898,0.00898723163846165,-0.011106621677146489,-0.0005835694618687715,1
2014-03-17,16.435951232910156,16.53673682000258,16.408180204323926,16.465906949073737,199544800,0.0039073198958996525,-0.00787284446630454,0.00933556221910833,-0.011231594574719228,0.0009043866903042375,1
2014-03-18,16.58135223388672,16.599138018526048,16.38789328978957,16.40973515986056,209647200,0.008846521805529806,-0.008748672055183704,0.00907100653320132,0.0039073198958996525,0.009737895760683957,1
2014-03-19,16.576988220214844,16.732379320711544,16.506468309966696,16.60819208900346,224756000,-0.0002631880446370971,-0.009969770933688227,0.008995946708501443,0.008846521805529806,0.0009698828900046585,1
2014-03-20,16.497102737426758,16.620979974096514,16.454978777776272,16.534234079658425,208398400,-0.004819058910271123,-0.003674979864386363,0.007752978306554499,-0.0002631880446370971,-0.011106621677146489,1
2014-03-21,16.627225875854492,16.654685282882074,16.42315838794434,16.59789506974377,374046400,0.007887635816956173,0.015590368320733239,0.00571440200693717,-0.004819058910271123,-0.011231594574719228,1
2014-03-24,16.824426651000977,16.86530246241041,16.695556777637783,16.800400092686278,355700800,0.01186011284256705,0.023635712505216233,0.006961816758114407,0.007887635816956173,0.0039073198958996525,0
2014-03-25,17.005399703979492,17.029114634190826,16.836902216911913,16.896501997602545,282293200,0.010756565839213916,0.025573756839093242,0.007290697448797343,0.01186011284256705,0.008846521805529806,0
